"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 5 Govan",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
",,,,,,,,,,,,,
"John FLANAGAN","1","3","5","5","2","3","0","6","3","3","1","0","1","0"
"Alan HUGHES","7","8","7","1","0","0","3","1","0","0","1","1","1","2"
"Allison HUNTER","67","51","31","8","3","0","1","1","1","1","0","2","0","1"
"Jonathan MACKIE","19","67","39","9","8","2","0","1","0","2","1","0","1","0"
"Tahir MOHAMMED","45","16","66","11","4","4","3","0","0","0","2","2","0","0"
"Harriet MURDOCH","9","9","7","7","6","3","1","1","0","0","0","1","2","2"
"Fariha THOMAS","36","41","14","10","11","2","3","0","1","0","0","0","1","0"
"Chris YOUNG","7","8","16","11","3","4","2","1","2","0","0","0","2","0"
"BOX 111","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    ","   14th    "
"James ADAMS","57","42","21","10","2","4","3","1","0","1","0","2","0","1"
"Finlay ARCHIBALD","6","3","6","2","5","2","3","1","1","3","2","1","0","0"
"Jesper BACH","16","9","7","13","8","5","1","2","1","3","1","0","0","1"
"Shaukat BUTT","70","20","20","13","6","3","1","2","2","0","0","0","0","1"
"Stephen DORNAN","5","16","11","6","3","3","1","4","6","1","0","0","0","0"
"Joyce DRUMMOND","0","4","6","9","5","2","1","2","0","3","4","1","1","0"
"John FLANAGAN","7","9","4","3","4","1","3","2","0","0","3","0","0","2"
"Alan HUGHES","8","6","7","3","4","2","1","0","0","1","3","4","1","1"
"Allison HUNTER","60","53","26","6","6","2","1","0","1","1","0","0","1","0"
"Jonathan MACKIE","13","53","43","13","4","3","1","2","1","1","0","1","0","1"
"Tahir MOHAMMED","53","33","67","5","6","2","3","0","1","1","1","2","0","0"
"Harriet MURDOCH","10","13","8","5","2","1","3","0","3","0","0","1","5","1"
"Fariha THOMAS","45","55","18","9","4","2","0","1","0","0","1","0","4","1"
"Chris YOUNG","6","6","13","9","4","3","0","2","1","1","0","2","2","5"
"BOX 113","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    ","   14th    "
"James ADAMS","64","57","20","12","13","4","1","0","0","0","0","0","0","0"
"Finlay ARCHIBALD","3","5","1","6","2","2","2","1","0","1","0","0","0","0"
"Jesper BACH","18","14","20","22","10","3","2","1","0","0","0","0","0","0"
"Shaukat BUTT","53","18","16","11","6","3","2","0","1","0","0","0","0","1"
"Stephen DORNAN","30","30","20","11","7","1","1","3","0","0","0","0","1","0"
"Joyce DRUMMOND","4","3","6","1","3","2","0","1","3","0","0","0","0","0"
"John FLANAGAN","11","7","10","4","1","3","1","0","0","0","0","0","0","0"
"Alan HUGHES","7","13","6","6","3","1","0","0","0","2","1","0","0","0"
"Allison HUNTER","158","65","40","11","2","2","0","0","0","0","1","0","1","0"
"Jonathan MACKIE","12","142","43","16","6","2","2","0","0","0","0","1","0","1"
"Tahir MOHAMMED","36","18","120","22","6","3","1","1","0","0","0","1","1","0"
"Harriet MURDOCH","43","18","21","12","3","2","1","0","1","0","1","0","0","1"
"Fariha THOMAS","54","64","21","24","10","4","2","0","0","0","0","1","0","0"
"Chris YOUNG","8","12","24","10","8","4","3","1","0","1","0","0","0","0"
"TOTAL POSTAL GOVAN","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    ","   14th    "
"James ADAMS","442","173","71","36","12","10","4","8","4","1","0","3","0","3"
"Finlay ARCHIBALD","5","17","11","9","4","6","6","5","2","6","7","5","8","12"
"Jesper BACH","50","36","57","42","21","9","13","5","5","4","2","2","4","2"
"Shaukat BUTT","85","53","60","27","36","11","8","6","4","1","8","1","2","0"
"Stephen DORNAN","102","100","87","53","23","24","4","4","9","3","2","6","2","0"
"Joyce DRUMMOND","8","15","19","13","7","5","5","6","6","8","4","9","4","4"
"John FLANAGAN","118","61","66","33","7","10","1","8","4","5","3","6","5","7"
"Alan HUGHES","28","33","24","23","6","6","9","3","5","10","7","3","3","3"
