"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 13 Garscadden-Scotstounhill",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
",,,,,,,,,,,,
"John KELLY","29","38","29","10","1","2","0","0","0","0","1","0","0"
"Susan Marion MCCOURT","4","3","3","3","1","0","0","2","0","0","0","1","0"
"Mark MUIR","0","2","4","2","2","1","2","0","1","0","0","0","0"
"Paul ROONEY","14","35","36","11","4","1","0","0","0","1","0","1","0"
"Martin SCHMIERER","5","7","11","12","4","0","0","1","0","1","1","0","0"
"James Douglas SPEIRS","3","3","1","5","1","1","0","0","0","1","1","0","0"
"Ryan STUART","2","3","2","0","0","1","1","0","0","1","0","1","1"
"Donald T WILSON","20","54","10","11","3","1","0","0","0","0","0","0","0"
"BOX 275","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"Liz CAMERON","67","19","35","3","4","1","0","1","1","0","1","1","1"
"John CORMACK","2","3","2","1","3","0","3","1","1","2","1","1","1"
"Iain CUMMING","6","2","2","2","2","1","2","2","1","0","0","1","1"
"Graeme Andrew HENDRY","74","25","8","7","3","2","1","0","0","0","0","0","0"
"Phil JARVIS","30","11","12","7","3","3","0","3","0","0","0","0","0"
"John KELLY","23","53","25","8","1","1","1","0","0","1","2","0","0"
"Susan Marion MCCOURT","5","1","4","6","0","0","1","0","2","1","1","0","3"
"Mark MUIR","0","2","5","3","4","4","1","0","0","2","1","0","0"
"Paul ROONEY","19","32","49","6","4","2","0","2","1","0","0","1","0"
"Martin SCHMIERER","4","4","18","10","3","0","2","0","2","0","1","1","0"
"James Douglas SPEIRS","2","1","7","3","1","2","0","1","2","2","1","1","0"
"Ryan STUART","1","3","5","3","3","2","3","0","0","1","0","1","0"
"Donald T WILSON","6","62","14","5","3","2","0","0","0","0","0","0","0"
"BOX 276","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"Liz CAMERON","72","32","50","6","3","0","0","0","1","0","0","0","0"
"John CORMACK","2","4","3","1","3","3","1","2","0","1","3","0","2"
"Iain CUMMING","5","5","4","4","3","4","0","1","2","1","0","1","2"
"Graeme Andrew HENDRY","61","27","9","11","2","0","2","0","1","0","0","0","0"
"Phil JARVIS","10","3","7","12","1","1","2","4","1","0","0","0","0"
"John KELLY","36","51","29","4","5","2","1","0","0","0","1","0","0"
"Susan Marion MCCOURT","5","3","2","1","0","0","1","2","3","0","0","2","3"
"Mark MUIR","0","1","4","4","3","1","1","0","1","3","1","2","0"
"Paul ROONEY","25","46","51","4","1","1","0","1","1","0","1","1","0"
"Martin SCHMIERER","6","4","13","4","1","2","4","0","0","2","0","0","2"
"James Douglas SPEIRS","1","2","6","2","0","2","1","0","1","5","3","1","0"
"Ryan STUART","1","1","1","2","1","1","0","1","1","0","3","3","0"
"Donald T WILSON","17","46","14","4","7","2","0","2","0","0","0","2","2"
"BOX 277","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    ","   13th    "
"Liz CAMERON","161","13","14","1","0","0","0","0","0","1","0","0","0"
