"LIVE ELECTIONS MAY 2012",,,,,,,
"First Preference By Ballot Box Report",,,,,,,
"Ward 16 Canal",,,,,,,
"05-05-16",,,,,,,
,,,,,,,,,,,
,"
Numbers of Preferences allocated to each Candidate
",,,,,,,,,,,
"Caroline JOHNSTON","5","3","3","6","3","0","0","2","2","1","1","0"
"Chris KELLY","110","43","13","5","3","2","0","1","2","1","0","0"
"Billy MCALLISTER","52","18","12","9","1","0","0","0","0","0","0","1"
"Angela MCCORMICK","5","6","9","4","1","1","2","0","3","0","0","1"
"Graham Craig NICHOLLS","0","14","2","1","0","3","3","1","1","1","2","0"
"Gavin Clark ROBERTS","12","43","10","7","3","0","0","0","1","0","1","0"
"Helen STEPHEN","28","82","28","5","2","3","0","2","0","0","1","0"
"Margaret WALKER","6","4","8","2","1","0","0","1","0","3","1","3"
"Kieran WILD","4","8","25","6","3","2","2","0","1","0","1","2"
"TOTAL POSTAL CANAL","   1st    ","   2nd    ","   3rd    ","   4th    ","   5th    ","   6th    ","   7th    ","   8th    ","   9th    ","   10th    ","   11th    ","   12th    "
"Jim BERRINGTON","81","41","122","33","19","16","5","4","4","3","4","6"
"Brian BROWN","55","25","39","26","12","6","10","12","9","4","4","6"
"Fay DORNAN","15","21","59","31","24","17","7","7","6","4","3","1"
"Caroline JOHNSTON","30","29","38","22","11","13","10","6","12","10","8","2"
"Chris KELLY","524","284","89","40","18","12","4","1","0","1","4","1"
"Billy MCALLISTER","387","146","97","25","12","9","6","1","1","6","4","7"
"Angela MCCORMICK","24","23","44","33","15","8","9","10","6","5","3","10"
"Graham Craig NICHOLLS","6","56","22","16","6","10","12","13","11","4","13","2"
"Gavin Clark ROBERTS","108","349","74","51","7","5","6","4","7","3","6","4"
"Helen STEPHEN","236","476","136","61","24","5","3","3","0","4","0","1"
"Margaret WALKER","41","13","37","16","8","4","1","3","7","18","6","16"
"Kieran WILD","89","49","173","36","18","9","10","10","4","4","8","5"
"NB The STV election results cannot be calculated from these numbers.",,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,

